First Name,Last Name,Category1,Category2,Category3,Category4,Category5,Email
Carolyne,Abeles,4,4,1,5,5,abelesc@school.edu
Batsheva,Abrams,4,2,5,2,1,abramsb@school.edu
Arvin,Adrian,5,4,2,5,5,adriana@school.edu
Michail,Aldins,3,1,3,4,2,aldinsm@school.edu
Valry,Aldwich,5,5,2,5,2,aldwicv@school.edu
Dayna,Aldwinckle,1,5,5,3,1,aldwind@school.edu
Angus,Algore,3,1,1,3,2,algorea@school.edu
Ashton,Aloshikin,1,3,5,4,3,aloshia@school.edu
Demetre,Alyonov,1,4,4,1,2,alyonod@school.edu
Hakeem,Andrioletti,1,5,5,3,2,andrioh@school.edu
Burk,Angrave,3,2,2,1,4,angravb@school.edu
Bibby,Annets,1,2,4,4,4,annetsb@school.edu
Ema,Annett,3,4,3,2,2,annette@school.edu
Brocky,Antushev,5,1,3,5,1,antushb@school.edu
Collin,Arthur,2,2,1,5,5,arthurc@school.edu
Maurine,Ashforth,,,,,,ashform@school.edu
Janeczka,Asker,5,2,3,3,4,askerj@school.edu
Lizzy,Askey,4,3,1,5,4,askeyl@school.edu
Norton,Asmus,5,5,3,2,1,asmusn@school.edu
Jimmie,Audley,1,4,4,1,1,audleyj@school.edu
Marty,Awde,2,5,1,1,1,awdem@school.edu
Lucilia,Babb,4,5,5,1,1,babbl@school.edu
Sly,Babber,3,3,4,1,5,babbers@school.edu
Rayna,Baccup,,,,,,baccupr@school.edu
Phylis,Baffin,2,4,1,2,2,baffinp@school.edu
Broderic,Baker,4,5,2,5,3,bakerb@school.edu
Noby,Baptie,4,1,4,4,3,baptien@school.edu
Zelda,Barkess,2,3,5,1,1,barkesz@school.edu
Ilsa,Baroch,4,2,4,2,2,barochi@school.edu
Blakeley,Bartul,2,4,5,2,3,bartulb@school.edu
Ronica,Baumaier,5,1,1,1,4,baumair@school.edu
Zsazsa,Beach,2,5,1,4,5,beachz@school.edu
Ileane,Beaford,1,1,4,5,2,beafori@school.edu
Sylvan,Beddis,2,1,2,2,2,beddiss@school.edu
Tristam,Belfrage,1,2,4,4,5,belfrat@school.edu
Anet,Bellward,1,2,2,2,1,bellwaa@school.edu
Gertrud,Benyon,5,5,3,5,1,benyong@school.edu
Koenraad,Berrisford,5,5,5,5,1,berrisk@school.edu
Jena,Betho,5,3,2,3,1,bethoj@school.edu
Bernelle,Bicheno,1,1,5,4,3,bichenb@school.edu
Ada,Bladon,4,3,4,5,4,bladona@school.edu
Caleb,Blamey,3,3,4,1,5,blameyc@school.edu
Rodrick,Bleeze,4,2,4,3,3,bleezer@school.edu
Gawen,Bolley,1,2,1,5,4,bolleyg@school.edu
Samuel,Bonome,3,3,3,1,1,bonomes@school.edu
Kevyn,Booker,4,4,1,4,4,bookerk@school.edu
Hugo,Boorman,4,5,5,1,2,boormah@school.edu
Caterina,Bossingham,2,5,5,5,4,bossinc@school.edu
Padget,Boswood,3,2,2,1,4,boswoop@school.edu
Emera,Bradwell,3,4,2,5,5,bradwee@school.edu
Pierson,Bradwell,3,4,4,5,2,bradwep@school.edu
Roscoe,Braidley,5,1,5,1,2,braidlr@school.edu
Pavia,Brainsby,3,1,4,1,2,brainsp@school.edu
Wallie,Bramsom,3,3,2,3,5,bramsow@school.edu
Joyann,Bransdon,3,3,2,4,5,bransdj@school.edu
Fernande,Braxton,4,3,4,1,1,braxtof@school.edu
Henka,Brewood,2,5,3,5,4,brewooh@school.edu
Oralia,Brind,2,3,4,1,2,brindo@school.edu
Selia,Brindle,4,2,5,4,3,brindls@school.edu
Jeno,Brittles,5,2,2,4,1,brittlj@school.edu
Walker,Brizell,3,2,2,5,4,brizelw@school.edu
Ricki,Brunone,4,1,5,5,3,brunonr@school.edu
Kendre,Brychan,5,5,3,3,2,brychak@school.edu
Carolynn,Buggs,1,2,3,3,4,buggsc@school.edu
Kevan,Bullar,5,3,1,3,4,bullark@school.edu
Uri,Bumphrey,2,1,4,3,3,bumphru@school.edu
Jarib,Bunson,2,5,2,2,2,bunsonj@school.edu
Turner,Burbridge,1,2,4,1,5,burbrit@school.edu
Yancey,Burbridge,1,2,2,3,3,burbriy@school.edu
Theodosia,Burnsall,1,4,2,4,2,burnsat@school.edu
Ermengarde,Butler-Bowdon,1,3,2,5,5,butlere@school.edu
Karrie,Bysh,3,5,4,5,5,byshk@school.edu
Imelda,Calkin,4,3,5,3,4,calkini@school.edu
Sanson,Cammock,3,4,3,5,1,cammocs@school.edu
Dari,Carp,1,1,2,4,4,carpd@school.edu
Olly,Caseborne,1,4,3,1,2,caseboo@school.edu
Linnet,Castane,1,4,2,4,4,castanl@school.edu
Tallie,Catto,3,3,1,5,5,cattot@school.edu
Paolo,Charer,4,5,2,4,4,charerp@school.edu
Erhart,Chark,4,5,4,5,4,charke@school.edu
Linnie,Charnock,5,5,1,5,3,charnol@school.edu
Ninon,Chattaway,3,2,4,4,5,chattan@school.edu
Ailene,Cheales,2,2,2,2,1,chealea@school.edu
Katharina,Chill,5,2,4,3,5,chillk@school.edu
Ilse,Clampett,,,,,,clampei@school.edu
Greer,Cleugher,1,4,5,3,5,cleughg@school.edu
Thor,Cluney,2,5,5,5,3,cluneyt@school.edu
Matthieu,Coats,1,2,4,1,2,coatsm@school.edu
Marybeth,Cobbe,2,1,4,4,2,cobbem@school.edu
Luigi,Cock,3,5,3,2,2,cockl@school.edu
Meggie,Cockland,2,5,2,5,5,cocklam@school.edu
Freeland,Coffelt,5,2,4,5,3,coffelf@school.edu
Van,Coils,1,3,2,1,3,coilsv@school.edu
Dimitri,Colecrough,3,4,5,1,2,colecrd@school.edu
Mordecai,Colleran,3,4,3,5,2,collerm@school.edu
Alastair,Colton,1,3,2,4,3,coltona@school.edu
Ulick,Connick,,,,,,connicu@school.edu
Kassey,Coonihan,3,1,1,3,1,coonihk@school.edu
Elmore,Corder,3,4,2,4,1,cordere@school.edu
Wendye,Cordova,5,5,5,2,2,cordovw@school.edu
Emelen,Cottrill,,,,,,cottrie@school.edu
Tiphanie,Counsell,4,5,4,1,2,counset@school.edu
Daphna,Cranmore,4,5,3,4,2,cranmod@school.edu
Auroora,Crichmere,3,2,2,5,5,crichma@school.edu
Niccolo,Cristoferi,4,2,3,5,3,criston@school.edu
Cathy,Crowdy,3,2,5,2,3,crowdyc@school.edu
Raimund,Curd,,,,,,curdr@school.edu
Adlai,Dablin,4,1,1,5,2,dablina@school.edu
Eloisa,Dafydd,1,3,4,5,4,dafydde@school.edu
Maurizia,Dahlen,3,5,2,1,3,dahlenm@school.edu
Perl,Damrell,3,2,3,4,2,damrelp@school.edu
Kimball,Danels,5,3,2,1,5,danelsk@school.edu
Vilma,Danet,4,5,5,3,1,danetv@school.edu
Livy,Danihel,3,2,1,1,2,danihel@school.edu
