First Name,Last Name,Major(s),Year,Standing,Email
Kym,Grant,CS,Y3,JR,grantk@school.edu
Wallie,Odell,PH,Y1,FR,odellw@school.edu
Adoree,Pieper,CHEM,Y2,FR,piepera@school.edu
Carolyne,Abeles,BE,Y3,SO,abelesc@school.edu
Dannel,Zumbusch,PH,Y1,SO,zumbusd@school.edu
Geneva,Degoey,CS,Y5,SR,degoeyg@school.edu
Arlen,Mercy,CHE,Y1,FR,mercya@school.edu
Brock,Guildford,SE,Y5,SR,guildfb@school.edu
Garreth,Roman,EE,Y3,SR,romang@school.edu
Margery,Morgan,MA,Y2,FR,morganm@school.edu
Blondie,Merrill,SE,Y2,JR,merrilb@school.edu
Marcello,Pulham,PH,Y2,SO,pulhamm@school.edu
Bernelle,Bicheno,CHEM,Y3,JR,bichenb@school.edu
Ilysa,Sunock,SE,Y2,SO,sunocki@school.edu
Caprice,Gilbride,SE,Y1,FR,gilbric@school.edu
Erhart,Chark,AB,Y3,SR,charke@school.edu
Koenraad,Berrisford,CS,Y2,FR,berrisk@school.edu
Sheridan,Easthope,CHE,Y2,SO,easthos@school.edu
De witt,Meran,CS,Y4,JR,merand@school.edu
Ruthi,Studeart,BE,Y3,SO,studear@school.edu
Clarissa,De la Perrelle,OE,Y2,JR,de la c@school.edu
Collin,Arthur,PH,Y3,SO,arthurc@school.edu
Alikee,Rodolf,CPE,Y5,SR,rodolfa@school.edu
Ada,Bladon,BE,Y2,FR,bladona@school.edu
Antone,Kendrew,PH,Y4,SR,kendrea@school.edu
Jacenta,Wakeham,BE,Y2,FR,wakehaj@school.edu
Sascha,Tremollet,BE,Y4,JR,tremols@school.edu
Mureil,Pinnock,MA,Y1,SO,pinnocm@school.edu
Uri,Bumphrey,BE,Y2,JR,bumphru@school.edu
Auroora,Crichmere,OE,Y4,JR,crichma@school.edu
Tobye,Lambertini,CPE,Y2,SO,lambert@school.edu
Audy,Reynalds,MA,Y2,SO,reynala@school.edu
Margarete,Renzullo,AB,Y2,SO,renzulm@school.edu
Alikee,Laughrey,PH,Y2,JR,laughra@school.edu
Seline,Reach,CS,Y1,FR,reachs@school.edu
Kari,Iacofo,BE,Y1,FR,iacofok@school.edu
Christi,Priter,CHE,Y3,SR,priterc@school.edu
Francesca,McCormack,CPE,Y3,SO,mccormf@school.edu
Cele,Impey,CPE,Y4,SR,impeyc@school.edu
Yuma,Lidington,CS,Y3,JR,lidingy@school.edu
Kattie,Norman,AB,Y1,SO,normank@school.edu
Nicko,Tennant,CHEM,Y1,SO,tennann@school.edu
Forster,Sherbrook,CHE,Y2,FR,sherbrf@school.edu
Tammie,Divell,CPE,Y2,FR,divellt@school.edu
Philip,Potte,OE,Y1,SO,pottep@school.edu
Pavia,Brainsby,CHEM,Y1,FR,brainsp@school.edu
Donetta,Dunn,CHEM,Y5,SR,dunnd@school.edu
Emelen,Cottrill,CPE,Y2,SO,cottrie@school.edu
Vida,Treeby,CS,Y3,SO,treebyv@school.edu
Brendan,Staten,MA,Y2,FR,statenb@school.edu
Ellerey,Shrive,EE,Y2,JR,shrivee@school.edu
Daphna,Cranmore,BE,Y4,JR,cranmod@school.edu
Gallard,Longbottom,MA,Y1,SO,longbog@school.edu
Allix,McCord,BE,Y2,SO,mccorda@school.edu
Bee,Mashro,CS,Y2,FR,mashrob@school.edu
Leicester,Harness,BE,Y4,SR,harnesl@school.edu
Lyndel,Jeynes,EE,Y4,SR,jeynesl@school.edu
Fleur,Laingmaid,CHEM,Y3,SR,laingmf@school.edu
Tybalt,Pickle,MA,Y2,FR,picklet@school.edu
Sephira,Echallier,BE,Y1,FR,echalls@school.edu
Reed,Rosenfelder,OE,Y3,JR,rosenfr@school.edu
Freeland,Coffelt,CHEM,Y4,JR,coffelf@school.edu
Livy,Danihel,CPE,Y3,SO,danihel@school.edu
Kira,Lamp,CPE,Y2,FR,lampk@school.edu
Melitta,Nisbith,PH,Y1,SO,nisbitm@school.edu
Reinold,Kincey,PH,Y4,SR,kinceyr@school.edu
Ranna,Worcester,CHEM,Y1,SO,worcesr@school.edu
Perl,Damrell,MA,Y5,SR,damrelp@school.edu
Audrye,Twaite,CHE,Y1,FR,twaitea@school.edu
Hilliary,Shakesby,MA,Y4,JR,shakesh@school.edu
Cairistiona,Ronchka,PH,Y3,SO,ronchkc@school.edu
Kimball,Danels,SE,Y2,FR,danelsk@school.edu
Thor,Cluney,OE,Y2,SO,cluneyt@school.edu
Corbet,Scheffel,CHE,Y4,JR,scheffc@school.edu
Phylis,Baffin,AB,Y5,SR,baffinp@school.edu
Reagan,Hanretty,EE,Y1,FR,hanretr@school.edu
Sanson,Cammock,CHE,Y1,SO,cammocs@school.edu
Roderigo,Pecha,AB,Y3,SR,pechar@school.edu
Cecil,Housby,OE,Y5,SR,housbyc@school.edu
Blanch,Lacrouts,BE,Y4,JR,lacroub@school.edu
Brandy,Marshland,CHE,Y1,SO,marshlb@school.edu
Ives,O'Crevy,PH,Y1,FR,o'crevi@school.edu
Cozmo,Eilles,PH,Y5,SR,eillesc@school.edu
Jaynell,Sidebotton,CS,Y2,SO,sideboj@school.edu
Alexandra,O'Crotty,CS,Y2,FR,o'crota@school.edu
Heidi,Stidston,BE,Y3,SO,stidsth@school.edu
Hilary,Sowray,PH,Y3,SO,sowrayh@school.edu
Friederike,Trowsdale,AB,Y3,SO,trowsdf@school.edu
Xerxes,Plinck,AB,Y3,SR,plinckx@school.edu
Jard,Rowbrey,CHEM,Y3,SR,rowbrej@school.edu
Baxter,Piborn,OE,Y1,SO,pibornb@school.edu
Giana,Peiro,EE,Y3,SO,peirog@school.edu
Kori,Dower,PH,Y2,JR,dowerk@school.edu
Darcy,Wortt,MA,Y1,SO,worttd@school.edu
Tulley,Yakob,CPE,Y3,SR,yakobt@school.edu
Oralia,Brind,PH,Y4,JR,brindo@school.edu
Hewett,Storch,MA,Y1,SO,storchh@school.edu
Sisile,Seakin,SE,Y1,FR,seakins@school.edu
Jimmie,Audley,SE,Y2,FR,audleyj@school.edu
Nancie,Jacobs,BE,Y4,JR,jacobsn@school.edu
Hamilton,Tilte,CS,Y3,JR,tilteh@school.edu
Anet,Bellward,CS,Y1,FR,bellwaa@school.edu
Buddie,Reddle,CHE,Y1,FR,reddleb@school.edu
Ninon,Chattaway,CHEM,Y5,SR,chattan@school.edu
Cassandry,Scrinage,CS,Y3,SR,scrinac@school.edu
Turner,Burbridge,CHE,Y2,FR,burbrit@school.edu
Cirstoforo,Newby,CHEM,Y4,JR,newbyc@school.edu
Sylvan,Beddis,MA,Y3,SO,beddiss@school.edu
Myrah,Dieton,CPE,Y2,FR,dietonm@school.edu
Billy,Vamplus,BE,Y3,SR,vamplub@school.edu
Moreen,Glassborow,MA,Y3,JR,glassbm@school.edu
Berri,Esherwood,CPE,Y2,FR,esherwb@school.edu
Alister,Murphy,BE,Y2,SO,murphya@school.edu
Ailene,Cheales,BE,Y3,SR,chealea@school.edu
Lizzy,Orpyne,MA,Y2,FR,orpynel@school.edu
Guinna,Taylor,CPE,Y1,FR,taylorg@school.edu
Alvan,Sim,PH,Y1,SO,sima@school.edu
Fiorenze,Groucock,SE,Y5,SR,groucof@school.edu
Melisa,Getch,MA,Y2,FR,getchm@school.edu
Zelda,Barkess,BE,Y1,FR,barkesz@school.edu
Selia,Brindle,SE,Y2,FR,brindls@school.edu
Rayna,Baccup,CS,Y2,FR,baccupr@school.edu
Ginny,Dragonette,OE,Y2,FR,dragong@school.edu
Aristotle,Pillans,SE,Y2,SO,pillana@school.edu
Maurine,Ashforth,AB,Y3,SR,ashform@school.edu
Fredrika,Matthieson,CHE,Y4,SR,matthif@school.edu
Kevyn,Booker,PH,Y4,SR,bookerk@school.edu
Maurie,Meadley,SE,Y5,SR,meadlem@school.edu
Jannelle,Higounet,AB,Y3,SO,higounj@school.edu
Karon,Freckingham,CHE,Y3,JR,freckik@school.edu
Eloisa,Dafydd,CPE,Y3,SR,dafydde@school.edu
Laryssa,Krienke,AB,Y5,SR,krienkl@school.edu
Lynnelle,Perigoe,MA,Y2,JR,perigol@school.edu
Tomasine,Stuchberry,PH,Y4,SR,stuchbt@school.edu
Grantley,Rawkesby,AB,Y3,SR,rawkesg@school.edu
Joan,Placidi,SE,Y1,SO,placidj@school.edu
Malory,Emons,CS,Y3,SR,emonsm@school.edu
Petra,Jeffs,BE,Y2,SO,jeffsp@school.edu
Amandy,Windrass,PH,Y3,JR,windraa@school.edu
Svend,Wyant,PH,Y2,FR,wyants@school.edu
Galina,Fairhurst,CS,Y5,SR,fairhug@school.edu
Genna,Galliver,EE,Y2,FR,gallivg@school.edu
Haskel,O'Hickey,EE,Y1,SO,o'hickh@school.edu
Sigismundo,Reuter,AB,Y3,JR,reuters@school.edu
Lindie,Renwick,AB,Y4,JR,renwicl@school.edu
Damian,Lean,CS,Y2,SO,leand@school.edu
Barnard,Shorrock,CHEM,Y3,SO,shorrob@school.edu
Rebekkah,Jaggli,AB,Y5,SR,jagglir@school.edu
Olly,Dunwoody,CS,Y1,FR,dunwooo@school.edu
Holt,Tooth,SE,Y5,SR,toothh@school.edu
Jilly,McKendo,CPE,Y2,FR,mckendj@school.edu
Ula,Lanbertoni,EE,Y4,JR,lanberu@school.edu
Colman,Hutchinges,CHEM,Y2,FR,hutchic@school.edu
Roscoe,Braidley,MA,Y3,SO,braidlr@school.edu
Jarib,Bunson,MA,Y4,SR,bunsonj@school.edu
Patrizia,Van den Velden,CHEM,Y2,JR,van dep@school.edu
Abbye,Hillborne,CPE,Y2,FR,hillboa@school.edu
Jessalin,Rockey,OE,Y2,JR,rockeyj@school.edu
Valry,Aldwich,CPE,Y1,SO,aldwicv@school.edu
Arte,Duffell,EE,Y3,SO,duffela@school.edu
Minna,Linbohm,SE,Y5,SR,linbohm@school.edu
Jess,Humpherston,CHE,Y2,FR,humphej@school.edu
Paulo,Knight,AB,Y2,FR,knightp@school.edu
Ezri,McDaid,AB,Y2,SO,mcdaide@school.edu
Cherida,Ryhorovich,CPE,Y1,FR,ryhoroc@school.edu
Merrie,Hurdidge,CS,Y3,SR,hurdidm@school.edu
Gae,Mattedi,CHEM,Y2,SO,mattedg@school.edu
Tuck,McCarlie,CHE,Y2,FR,mccarlt@school.edu
Courtney,Scotting,AB,Y1,FR,scottic@school.edu
Tommi,Dilston,BE,Y2,FR,dilstot@school.edu
Noach,Glaze,BE,Y3,SO,glazen@school.edu
Kimberley,Domenicone,AB,Y1,SO,domenik@school.edu
Nikola,Libreros,MA,Y5,SR,librern@school.edu
Jeremias,Strowthers,CHEM,Y3,SO,strowtj@school.edu
Luise,Gaine of England,PH,Y5,SR,gaine l@school.edu
Tiphanie,Counsell,CHEM,Y1,FR,counset@school.edu
Rosabel,Shepperd,EE,Y2,FR,shepper@school.edu
Jolyn,Kanzler,SE,Y1,SO,kanzlej@school.edu
Olly,Caseborne,OE,Y1,FR,caseboo@school.edu
Ezekiel,Pods,EE,Y3,JR,podse@school.edu
Greer,Cleugher,AB,Y4,JR,cleughg@school.edu
Gina,Jacqueme,CS,Y3,SR,jacqueg@school.edu
Shaughn,Glas,CPE,Y3,SR,glass@school.edu
Irene,Lindemann,CS,Y4,SR,lindemi@school.edu
Katleen,Densey,OE,Y3,SO,denseyk@school.edu
Caterina,Bossingham,SE,Y4,JR,bossinc@school.edu
Andie,Tungay,BE,Y3,JR,tungaya@school.edu
Angus,Algore,EE,Y3,SR,algorea@school.edu
Maggi,Leak,CPE,Y1,SO,leakm@school.edu
Carney,Henrys,BE,Y1,FR,henrysc@school.edu
Ronica,Baumaier,AB,Y1,SO,baumair@school.edu
Marty,Awde,CS,Y3,JR,awdem@school.edu
Sylvan,Perrelli,BE,Y4,JR,perrels@school.edu
Brocky,Antushev,CS,Y1,FR,antushb@school.edu
Shea,Sproule,EE,Y2,FR,sprouls@school.edu
Woodie,Giffon,OE,Y1,FR,giffonw@school.edu
Nicol,Wissby,CPE,Y3,SR,wissbyn@school.edu
Emera,Bradwell,CHE,Y5,SR,bradwee@school.edu
Foster,Rosnau,CHE,Y3,SR,rosnauf@school.edu
Juditha,Livens,CS,Y2,JR,livensj@school.edu
Josselyn,Reyna,CPE,Y1,SO,reynaj@school.edu
Ellette,Fowle,BE,Y4,SR,fowlee@school.edu
Evangeline,Longland,CHEM,Y3,JR,longlae@school.edu
Kip,Penrose,PH,Y4,JR,penrosk@school.edu
Claudelle,Gowenlock,OE,Y3,SO,gowenlc@school.edu
Faustina,Grimsdike,AB,Y1,FR,grimsdf@school.edu
Jdavie,Hellard,AB,Y3,JR,hellarj@school.edu
Allie,Snarie,SE,Y2,FR,snariea@school.edu
Jaimie,Vautrey,AB,Y3,JR,vautrej@school.edu
Yoko,Grennan,OE,Y5,SR,grennay@school.edu
Dill,Mettrick,AB,Y4,JR,mettrid@school.edu
Garnette,Ladley,EE,Y1,SO,ladleyg@school.edu
Ozzie,Palfreyman,BE,Y4,SR,palfreo@school.edu
Lanny,Kobierzycki,SE,Y3,JR,kobierl@school.edu
Marne,Diament,EE,Y2,FR,diamenm@school.edu
Elinore,Joubert,EE,Y3,SO,joubere@school.edu
Elisabeth,Du Hamel,BE,Y2,JR,du hame@school.edu
Kipper,Rallin,MA,Y4,JR,rallink@school.edu
Reggi,Heffernon,OE,Y2,JR,hefferr@school.edu
Melita,Kloser,MA,Y2,JR,kloserm@school.edu
Maurizia,Dahlen,SE,Y3,SR,dahlenm@school.edu
Zandra,Roswarn,CPE,Y1,FR,roswarz@school.edu
Kerrie,Renad,CS,Y1,SO,renadk@school.edu
Matthieu,Coats,CHE,Y2,JR,coatsm@school.edu
Mary,Fairburne,OE,Y3,SO,fairbum@school.edu
Deloris,Shorthill,CPE,Y2,FR,shorthd@school.edu
Travers,Stegel,OE,Y3,JR,stegelt@school.edu
Kassey,Coonihan,EE,Y2,FR,coonihk@school.edu
Noby,Baptie,EE,Y3,SO,baptien@school.edu
Kendre,Brychan,CHE,Y4,JR,brychak@school.edu
Tasha,Freschi,CHE,Y2,FR,frescht@school.edu
Kory,Learie,CS,Y1,SO,leariek@school.edu
Virgil,McCrie,CHE,Y4,JR,mccriev@school.edu
Cherri,Stennett,SE,Y4,SR,stennec@school.edu
Karlan,Olsen,CPE,Y3,SR,olsenk@school.edu
Stephani,Parkman,OE,Y2,SO,parkmas@school.edu
Hilliard,Simonard,EE,Y3,SO,simonah@school.edu
Mira,Wilsone,EE,Y5,SR,wilsonm@school.edu
Karilynn,Soppitt,CPE,Y2,FR,soppitk@school.edu
Ronny,Faas,PH,Y1,FR,faasr@school.edu
Bettye,Durdle,AB,Y1,SO,durdleb@school.edu
Thacher,Worgan,EE,Y2,JR,worgant@school.edu
Vittoria,Hammerton,PH,Y4,JR,hammerv@school.edu
Lizzy,Askey,CHE,Y1,FR,askeyl@school.edu
Mariejeanne,Kilkenny,CS,Y3,SR,kilkenm@school.edu
Freddy,Francescotti,CPE,Y3,SO,francef@school.edu
Daryl,Tattersfield,AB,Y2,JR,tatterd@school.edu
Winfred,McGifford,CPE,Y2,JR,mcgiffw@school.edu
Tobin,Morritt,OE,Y4,JR,morritt@school.edu
Beverlie,Quincee,OE,Y5,SR,quinceb@school.edu
Ginny,Yanyshev,EE,Y3,SR,yanyshg@school.edu
Ingaborg,Zannuto,EE,Y1,SO,zannuti@school.edu
Arvin,Adrian,CHEM,Y4,JR,adriana@school.edu
Caleb,Blamey,MA,Y3,SR,blameyc@school.edu
Isobel,Simms,SE,Y2,FR,simmsi@school.edu
Matthew,Jepensen,MA,Y3,JR,jepensm@school.edu
Casie,Stichel,MA,Y1,FR,stichec@school.edu
Ashton,Aloshikin,CPE,Y3,JR,aloshia@school.edu
Benoit,Kalinsky,AB,Y4,SR,kalinsb@school.edu
Paolo,Turton,PH,Y2,FR,turtonp@school.edu
Donavon,Pennycook,OE,Y1,FR,pennycd@school.edu
Lamond,Pagel,BE,Y1,SO,pagell@school.edu
Amandy,Saffer,CHE,Y1,FR,saffera@school.edu
Alastair,Dreier,PH,Y2,JR,dreiera@school.edu
Devan,Sarra,SE,Y4,SR,sarrad@school.edu
Erminie,Degli Antoni,OE,Y5,SR,degli e@school.edu
Wendye,Cordova,BE,Y3,JR,cordovw@school.edu
Niles,Sarjent,CHEM,Y3,JR,sarjenn@school.edu
Dayna,Aldwinckle,AB,Y5,SR,aldwind@school.edu
Anatol,Spaven,CS,Y2,SO,spavena@school.edu
